,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,spotify_id
"('Part 2', 'Solarium')",0.987,0.573,197253,0.122,0.969,9,0.106,-29.215,1,0.0482,180.012,4,0.14,7u8B4VupMzbAC881wvuEjj
"('Helicopter', 'The Feeling')",0.0147,0.655,198933,0.586,9.22e-06,4,0.134,-4.037,0,0.042,90.012,4,0.675,4WxY30NBQw9PaLQMEOtqOs
"('Illegal Tender', 'Louis Xiv')",0.212,0.609,193427,0.868,0,7,0.627,-4.44,1,0.334,119.581,4,0.567,0gMMyOQUJlf9kr0oN2HZ09
"('Sloboda', 'Živé Kvety')",0.36,0.37,244507,0.675,0,7,0.0758,-5.304,1,0.033,140.379,4,0.57,3I7rPEWPwTC7pVREaMum5e
"('This Will Make You Love Again', 'Iamx')",0.79,0.274,281893,0.53,0.00441,10,0.122,-4.838,1,0.0303,113.201,4,0.156,30x4kLcCFqYhwXJdK0cKVE
"('Naked Burn', 'Mastodon')",4.99e-05,0.234,222267,0.96,0.905,2,0.0629,-6.745,1,0.0911,158.149,3,0.618,348pOMYZ4f4j8bkbX0hQcZ
"('27', 'Biffy Clyro')",0.00388,0.515,207493,0.566,0.0146,7,0.621,-6.68,1,0.0298,102.526,4,0.124,53egVzE7Y0wQmHxSU89tgD
"('Eternal Infamy', 'Dirty Elegance')",0.121,0.539,113627,0.905,0.568,4,0.107,-4.865,0,0.182,92.346,4,0.107,326GKzFhapEAQ8BCTxORQE
"('Poison Prince', 'Amy Macdonald')",0.172,0.587,208613,0.821,0,1,0.149,-5.159,1,0.0343,108.94,4,0.305,0b16yPev6wHJlZJ7AMZqH5
"('Hurt You', 'Chase & Status')",0.323,0.606,182493,0.652,0,9,0.201,-6.982,1,0.0281,97.155,4,0.476,5AnSllIrgGsCZzZJkVnApx
"('Dhun Mishra Pahadi', 'Hariprasad Chaurasia')",0.96,0.438,928813,0.461,0.862,9,0.075,-15.026,1,0.0452,114.503,3,0.321,7vUi6863iLbBi0ZDLnnBw3
"('Last Living Souls', 'Gorillaz')",0.0283,0.849,195400,0.536,0.45,9,0.0659,-5.596,0,0.0582,137.068,4,0.89,7JzmCjvB6bk48JghLyrg8N
"('The 32Nd Of December', 'Babyshambles')",0.0273,0.533,188693,0.786,0,7,0.0877,-4.981,1,0.0353,121.411,4,0.66,4dMAJ12BGp4F2yrHBowpnO
"('Giggle On The Stretcher', 'Melt-Banana')",7.86e-06,0.241,49507,0.987,0.194,4,0.352,-3.087,1,0.168,130.929,4,0.121,2Bj6oeJOniPNejLWW17qOp
"('Diplodocus', 'Ferenc')",0.00387,0.717,414160,0.385,0.868,7,0.0806,-12.171,1,0.0512,128.972,4,0.572,0tFYE8bcSWWjdWX5Ln04zi
"('Ratts Of The Capital', 'Mogwai')",5e-05,0.353,505413,0.533,0.73,9,0.139,-11.264,0,0.0363,111.455,3,0.0995,4TUUqHttZS3pBvWGjlzLk6
"(""It Ain'T Easy"", 'David Bowie')",0.0174,0.503,177775,0.279,0,2,0.214,-12.755,1,0.0281,133.558,4,0.177,0xRUwscEziliaWCsmq7n2w
"('Africa', 'Andy Mckee')",0.201,0.536,256520,0.335,0.909,1,0.0679,-11.62,0,0.0564,91.785,4,0.542,6hMmMBEcw8rDdHO1CGUo1D
"('Blaze & Fade Out', 'Seba')",0.000724,0.479,309547,0.855,0.00287,10,0.167,-5.493,0,0.0389,87.475,4,0.195,674QZOE3fND31Tc1BMYavI
"('Half Jack', 'The Dresden Dolls')",0.652,0.414,357187,0.293,0.000509,2,0.237,-10.469,0,0.0323,110.817,4,0.139,7AwhnHPtsj2V5a5gxjt5WB
"('Sun Of Nothing', 'Between The Buried And Me')",0.00131,0.267,658960,0.931,0.108,11,0.178,-6.487,1,0.138,126.658,4,0.219,3VWttOQc5ZeV04hzcnmpvG
"('Tears', 'Missing Persons')",0.0695,0.603,263093,0.707,0.000183,11,0.0655,-12.316,0,0.0682,173.529,4,0.271,5OL7t4iActrjti1FyRO30G
"('El Capitalismo Foraneo', 'Gotan Project')",0.000321,0.885,373120,0.676,0.78,6,0.134,-7.823,1,0.123,99.006,4,0.661,2ZdCW8CHSNjZSyjRpJ2C9z
"('Puente', 'Gustavo Cerati')",0.00161,0.444,273800,0.471,0.0017,10,0.14,-9.107,1,0.0322,76.335,4,0.205,6gwaa6ElIixNTvu6RwkMyo
"('Rozil', 'Fourplay')",0.656,0.731,329347,0.427,0.898,6,0.0657,-11.614,1,0.0292,111.05,4,0.521,5UMFH7JvX5Mdt96XT6TzKG
"('Greece 2000 (Dj Shog Remix)', 'Three Drives')",0.00313,0.635,450373,0.928,0.844,4,0.135,-7.286,1,0.0525,137.99,4,0.803,0c6ivX0kvTe8Lt4eCnJNfj
"('Volume', 'The Postman Syndrome')",0.00123,0.331,414667,0.792,8.02e-05,11,0.174,-6.843,0,0.0845,179.851,3,0.535,6esfEIHtH8mJ6ccKJb17rH
"('Lend Me Your Face', 'Fight Like Apes')",4.09e-05,0.521,109453,0.869,0.691,5,0.215,-2.273,1,0.063,135.449,4,0.344,5nwvu9bus2zmTYGsM8Bzlz
"('Zero Signal', 'Fear Factory')",5.17e-06,0.312,358280,0.978,0.0307,1,0.0895,-5.813,0,0.228,182.958,4,0.0555,4CAqtGHesJsgddEkvH3KK4
"('Dying For It', 'The Vaselines')",0.079,0.204,141827,0.984,0.149,9,0.388,-4.939,1,0.0545,179.111,4,0.235,0OiCfwuIfJuzOMda73arap
"('For Those About To Rock (We Salute You)', 'Ac/Dc')",0.000341,0.371,353693,0.909,0.508,4,0.0894,-5.704,1,0.101,132.864,4,0.48,1Qf7H7d1TNP8VfPVDRLY0D
"('Down & Able', 'James William Hindle')",0.492,0.575,316480,0.393,0.22,2,0.17,-11.735,1,0.0327,60.37,3,0.295,0yqBbfqEiPshbYlv7MTKKN
"('Saturday Night In The City Of The Dead', 'Ultravox')",0.00212,0.543,155587,0.926,0,9,0.0559,-7.563,1,0.112,113.517,4,0.552,1BTj6f7eJ4QVFXKkC23xuw
"('These Dreams', 'Heart')",0.508,0.535,254476,0.532,0,11,0.0868,-9.865,1,0.0291,79.107,4,0.3,22wWxHGHRH8gZXNDXRgSqY
"('Trying To Sit Out', 'Field Music')",0.151,0.676,108387,0.309,0.000119,2,0.0583,-14.094,1,0.0345,106.024,4,0.153,3Bp8IIGAlxIa4qEkLb2YPg
"('Are You Dead Yet?', 'Children Of Bodom')",6.39e-06,0.461,234880,0.961,0.14,8,0.308,-3.011,1,0.0479,96.009,4,0.416,2T2vudIHfVMA5ychWTU3KA
"('Antillas', 'El Guincho')",0.186,0.562,333307,0.939,0.000129,7,0.138,-5.214,1,0.114,134.901,4,0.168,5ELJ36O05hwuM9ODSrV10s
"('The Traveller', 'A Flock Of Seagulls')",0.00471,0.42,206907,0.784,0.576,7,0.247,-13.261,1,0.0421,156.056,4,0.865,1Xa4wxpBf0DmaumCCzyIZH
"('Prelude 12/21', 'Afi')",0.104,0.599,94467,0.657,0,3,0.121,-9.43,0,0.128,74.938,4,0.519,6hxa24dKfCoe1EA6g0RHNw
"('Fruit Tree', 'Nick Drake')",0.749,0.354,285893,0.28,0.829,9,0.0963,-16.074,1,0.0307,125.605,4,0.215,6x3HF1SdlVeZqOb7soisuh
"('You And I', 'Cut Off Your Hands')",0.00842,0.474,134347,0.868,0.00112,11,0.108,-5.322,0,0.049,117.092,4,0.967,4Iky5u9pmAMFtL99R05KSJ
"('Unentitled States Of Hysteria', 'Humanwine')",0.00762,0.346,281867,0.602,0.0925,11,0.238,-8.616,1,0.039,126.029,4,0.172,7D3vnLGtjBfvT7VFQgGQ9G
"(""I Don'T Hate It, I Accept It"", 'Sucioperro')",9.23e-05,0.374,215107,0.874,0.000204,7,0.1,-5.606,1,0.0554,170.296,3,0.6,4f2PqYMwjFYhc60Vlp8jTX
"('Intrmssn_A', 'House Of Low Culture')",0.00529,0.0708,123320,0.596,0.914,11,0.11,-15.725,1,0.0687,75.332,3,0.0301,3Tps4NoEc1kGIODGQz2qrG
"(""Comptine D'Un Autre Été: L'Après Midi"", 'Yann Tiersen')",0.991,0.484,140733,0.192,0.908,2,0.106,-15.378,1,0.0465,100.084,4,0.0559,4O2N861eOnF9q8EtpH8IJu
"('Brightest', 'Copeland')",0.974,0.377,125760,0.14,0.0576,7,0.281,-12.966,1,0.0345,131.424,4,0.397,7pCjH9pNhgHHBWLoWO0QZs
"('Paperwork', 'Hot Snakes')",7.27e-05,0.388,167320,0.968,0.0398,4,0.488,-4.566,1,0.0978,156.443,4,0.351,6WOuNUBTBCbMOJvqxmdjJw
"('Skinny Little Bitch', 'Angelspit')",0.00969,0.701,243867,0.854,0.000253,2,0.029,-2.761,1,0.0573,126.012,4,0.625,77MeIphSUN8enuFRPI1p14
"('Resistance', 'Zao')",1.96e-05,0.443,181320,0.968,0.443,8,0.303,-4.74,1,0.0579,132.357,4,0.436,30fM3CKVO7PdwkTxHtb3tb
"('Labels Or Love', 'Fergie')",0.0623,0.802,231547,0.939,0,8,0.299,-6.576,1,0.0857,131.994,4,0.891,3Kwnrfd8npsKfoWHJdbQG3
"('Sister Kate', 'The Ditty Bops')",0.345,0.544,145240,0.799,4.95e-06,2,0.0904,-6.182,1,0.132,204.967,4,0.943,1kqTuY7rbpPSOrOjQlumDN
"('[Untitled]', 'Andrew Bird')",0.259,0.226,96693,0.208,0.876,7,0.538,-22.387,1,0.0376,124.905,4,0.0894,3TCaATRl9Ftz7yIalCzBCo
"('Positiv', 'Raga Rockers')",0.00204,0.475,226920,0.562,0.832,9,0.0715,-6.057,0,0.0338,159.383,4,0.469,5a2AULM94nTNntf79pfPYT
"('Hunters Of The Sky', 'Mastodon')",2.46e-06,0.271,232373,0.958,0.00431,11,0.104,-4.208,0,0.127,136.862,4,0.243,7gM4VvZGhvwyCpxjTUkEvW
"('Ed Is A Portal', 'Akron/Family')",0.113,0.377,451800,0.685,0.251,0,0.766,-6.592,1,0.186,117.414,4,0.445,4X12urH3Il2wDgrCfVhB9I
"('Lebanese Blonde', 'Thievery Corporation')",0.238,0.808,286906,0.837,0.86,9,0.0624,-6.583,0,0.046,92.002,4,0.653,66KcXPDs1hr8T06KvlJCeA
"(""Acceptable In The 80'S"", 'Calvin Harris')",0.0146,0.78,332827,0.805,0.302,7,0.054,-5.439,1,0.0499,127.997,4,0.919,6x2xqg5fQNu9dNCXu83ezE
"('Likufanele', 'Zero 7')",0.194,0.581,371400,0.47,0.199,8,0.357,-9.278,0,0.0276,116.968,3,0.153,5uvGVCAMTBmj3wTNNYkJpa
"('Simple Man', 'Tim Keegan & The Homer Lounge')",0.747,0.565,192805,0.332,0.000106,7,0.114,-12.44,1,0.132,171.273,4,0.691,7FhfcdSc23nurQjbp4Iumk
"('Welcome To The Garbage Dump', 'Turbonegro')",0.000108,0.384,119453,0.951,0.0472,11,0.174,-3.273,0,0.129,102.659,4,0.314,1ZdtWwf9m4hrygTPWiHsKu
"('Can You Mend Hearts', 'Mesh')",0.932,0.29,314067,0.24,0.00608,0,0.0951,-11.02,1,0.0328,106.97,4,0.117,1S3NYTUbpudWMM0DO9XsiW
"('Divine', 'Hk119')",0.26,0.733,197707,0.821,0.000437,7,0.0288,-5.303,1,0.041,125.013,4,0.851,3qMe6rUHYOzbSS5kM5O1CU
"('By Your Side', 'Cocorosie')",0.795,0.617,239667,0.876,0.000216,6,0.233,-6.225,0,0.452,127.009,4,0.413,57JBa90rqcGKs1ajxkIKNW
"('L.S.F.', 'Kasabian')",0.00681,0.613,197600,0.761,0.000152,9,0.27,-7.468,1,0.0343,105.274,4,0.44,1t8TCORVxdItzE3zy1X0tv
"('Two More Years', 'Bloc Party')",0.000262,0.591,267533,0.899,0.00695,10,0.0827,-4.609,1,0.0478,155.043,4,0.809,4urLu52aJVoztkEJH0hSKw
"('Home', 'The Gathering')",0.245,0.396,418267,0.644,0.868,3,0.171,-11.348,0,0.0331,93.739,3,0.151,6H7GpwIgtpNOPJtP1Nehkz
"('Stand', 'Sly & The Family Stone')",0.0213,0.759,226587,0.651,0.000165,5,0.18,-8.317,1,0.0565,92.023,4,0.471,0w4m3Xp4svlIoyL94Zjlyd
"('The Shining', 'Anorexia Nervosa')",2.5e-06,0.128,328920,0.96,0.759,1,0.0692,-5.146,1,0.176,97.691,3,0.0365,6gMTrIsrIvN5vzC0wQoqYj
"('Just Like You', 'Climber')",0.00382,0.889,306707,0.553,0.8,1,0.0617,-8.285,1,0.166,111.239,4,0.729,7ofqHzfFrDP3T3yxbz1D4y
"('Lounger', 'Dogs Die In Hot Cars')",0.248,0.586,219373,0.927,0,4,0.135,-3.539,1,0.0398,128.413,4,0.894,20PU2yylPzhv9G3TT86M12
"('Sniff', 'Great Leap Forward')",0.0423,0.695,422140,0.722,0.858,1,0.103,-15.81,1,0.0353,119.997,4,0.858,5z5wkuJkd00EJtKTZlS6EW
"('Women Are Born In Love', 'Oh No Oh My')",0.994,0.537,152187,0.425,0.963,7,0.335,-7.733,1,0.0368,137.725,4,0.0798,6FyFAEIXyCSj8dUcpvaXJ4
"('Summer In The City', 'Vietnam')",0.00136,0.294,302107,0.628,0,4,0.0822,-8.552,1,0.0346,169.041,4,0.42,7AZXbfqnEhT5OStqOlgT8H
"(""Why Don'T You Leave Me Alone"", 'Hank Williams Iii')",0.864,0.493,303640,0.684,0.0577,4,0.392,-6.873,1,0.0386,114.119,4,0.737,0OZVlxLxDmaCLxCvcVdgBB
"('Anyone Can Make A Mistake', 'The Wedding Present')",0.0466,0.328,132733,0.844,0.129,11,0.0389,-10.347,0,0.0375,84.543,4,0.571,5RfCFWdAeayTi2gn2Lpuyv
"('The Sundial', 'Kevin Kendle')",0.505,0.383,780160,0.251,0.469,0,0.205,-17.403,1,0.0317,120.18,3,0.21,6b6t7MZ6aBJeZY8qjXE1de
"('Piano Lessons', 'Porcupine Tree')",0.0046,0.488,262507,0.738,0.252,11,0.272,-6.966,1,0.0253,95.0,4,0.52,4M8stfqBkoFeA6V3sosOOL
"('Street Of Dreams', 'Rainbow')",0.00267,0.56,265507,0.623,7.63e-06,6,0.0608,-8.706,0,0.0292,119.878,4,0.79,2hDopFcMjFcRi5IRpTSSyr
"('Bad Moon Rising', 'Rasputina')",0.0588,0.2,209227,0.631,2.03e-06,2,0.145,-7.425,0,0.0499,176.239,4,0.541,5OYFd2THEUvvuRiQro0qtx
"('Heat Haze', 'Aphrodite')",0.0033,0.514,354000,0.862,0.843,10,0.0808,-7.637,0,0.0388,173.541,4,0.553,5Or0I49qiRINwuQ5FCpOLp
"('Guarded', 'Disturbed')",6.57e-05,0.499,200293,0.935,0.0221,9,0.0695,-3.141,1,0.0631,136.911,4,0.378,0f2YRp5HLHVzqIs8KfY6T1
"('Grow Up And Blow Away', 'Metric')",0.0121,0.427,253147,0.694,0.000458,11,0.0854,-6.961,0,0.0288,110.05,4,0.727,4tTSPlJX18X8qksCzmvVPj
"('Easy Skanking', 'Bob Marley & The Wailers')",0.0102,0.807,180267,0.487,1.98e-06,9,0.0501,-10.456,1,0.0758,148.491,4,0.651,1P49MJhU5vzttesFxw3dOM
"('Music', 'Ltj Bukem')",0.000227,0.512,529067,0.936,0.866,11,0.34,-6.559,0,0.0466,154.946,4,0.797,6ZrG74y44BWxIArOGYGXJG
"('No Limit', '2 Unlimited')",0.0109,0.652,223694,0.999,0.000646,3,0.0533,-6.659,1,0.0522,141.056,4,0.637,7pSJmBTlbA4S5zSLsj6Pzz
"('This White Mountain On Which You Will Die', 'Agalloch')",0.969,0.283,99225,0.101,0.902,0,0.154,-23.408,1,0.042,124.314,4,0.0308,6UtXQa4Qnx3G2neJA72YX0
"('Nel Blu Dipinto Di Blu (Volare)', 'Montefiori Cocktail')",0.0909,0.622,350427,0.934,0.886,7,0.373,-6.501,0,0.0432,160.699,4,0.701,4CugSf3XjbTN7vdmlMH3gF
"('Reflector', 'Antelope')",0.205,0.519,223813,0.782,0.541,4,0.0968,-7.357,1,0.0379,161.406,4,0.679,1P9RsnkrWQHF4lTW5vBRyX
"('Escalator Over The Hill', 'Talulah Gosh')",0.189,0.193,187533,0.794,0.191,2,0.106,-7.732,1,0.0368,110.25,4,0.442,29pcbzQfKAEOYaJSxwtPM6
"('The Boat', 'Chuck Ragan')",0.358,0.498,200520,0.802,1.76e-06,1,0.108,-4.698,0,0.0272,146.014,4,0.63,3i6AbQNq3vLxmvsUWuU6rZ
"('Guilty Conscience', 'Eminem')",0.0527,0.66,199333,0.789,0,7,0.341,-5.143,1,0.364,182.218,4,0.513,6da04YB906XonC6IQNC44u
"('Convict Pool', 'Calexico')",0.656,0.401,238960,0.569,7.91e-05,10,0.12,-10.889,1,0.0446,151.748,4,0.28,5cqNTJW1qkH6b72AybUve0
"('The New', 'Interpol')",0.000863,0.35,367360,0.824,0.827,7,0.294,-6.74,1,0.035,112.52,4,0.265,5bmLW1h16jxvCWHxnk7otj
"('The Impaler', 'Michael Brecker')",0.267,0.42,433373,0.615,0.844,5,0.329,-11.796,1,0.0373,139.524,1,0.752,5xkqXOWMAbkTvmZ3aEgGIq
"('Van Occupanther', 'Midlake')",0.634,0.485,191653,0.389,0.377,5,0.0977,-10.995,0,0.0245,83.851,4,0.568,3DoA9Xk0AZr8YQr9ofhqAq
"('She Painted Fire Across The Skyline, Part 3', 'Agalloch')",9.19e-06,0.191,429349,0.683,0.49,2,0.107,-11.314,0,0.0413,101.085,4,0.339,11cM2j84l31y3o1AjGhsVh
"('Bubblegun', 'Placebo')",0.787,0.617,313027,0.361,0.000807,1,0.124,-10.604,1,0.033,124.823,4,0.212,0aZ2To088DfK50ywu4nse8
"('Sometimes Salvation', 'The Black Crowes')",0.00288,0.398,284000,0.681,0,4,0.123,-4.914,1,0.0344,107.458,4,0.354,4yFoVW30sjXQUccXuy8WW6
"('Kill The Poor', 'Dead Kennedys')",0.212,0.27,187360,0.973,0.00204,2,0.346,-3.219,1,0.0725,105.292,4,0.443,3PraFkxThh80PiD685IzWC
"('The One I Love Belongs To Somebody Else', 'Bing Crosby & Al Jolson')",0.673,0.317,177480,0.158,0.353,9,0.338,-16.485,1,0.0381,130.503,3,0.247,4so0Wek9Ig1p6CRCHuINwW
"(""I Don'T Want You To Go"", ""The Dogs D'Amour"")",0.19,0.461,228573,0.868,1.39e-05,2,0.324,-9.996,1,0.0374,145.303,4,0.826,4ABjFaFQHJN6gW2vx4D3lf
"('Troy', ""Sinéad O'Connor"")",0.482,0.315,391200,0.311,1.42e-06,10,0.44,-9.233,1,0.032,116.404,4,0.184,6m3kJ6d7Ypd1eoBoGP2qZN
