song_artist,user_id,song,artist,playcount,user_total_plays,score,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,spotify_id,predictions
"('A Gal In Calico', 'Miles Davis')",user_000691,A Gal In Calico,Miles Davis,6,129327,4.639402444965089e-05,0.693,0.628,315760.0,0.274,0.0,5.0,0.111,-15.138,0.0,0.0475,90.951,4.0,0.615,2ay6hiH5NMbayPiBoVZOk3,0.0003177367919731111
"('A Gallon Of Gas', 'The Kinks')",user_000691,A Gallon Of Gas,The Kinks,7,129327,5.412636185792603e-05,0.156,0.677,161813.0,0.305,0.0,0.0,0.5479999999999999,-16.44,1.0,0.0294,86.34899999999998,4.0,0.648,3kKjXqyRSFLhkCmU3Br3jV,0.00021435225209587294
"('A Letter To Elise', 'The Cure')",user_000691,A Letter To Elise,The Cure,7,129327,5.412636185792603e-05,0.16,0.528,311867.0,0.5920000000000001,0.000916,9.0,0.223,-13.59,1.0,0.0321,150.187,4.0,0.728,4DdXOLc1VMAY34ourCn1Xa,0.000250226881200577
"('A Long Day Of Small Worlds', 'Tim Kinsella')",user_000691,A Long Day Of Small Worlds,Tim Kinsella,6,129327,4.639402444965089e-05,0.8759999999999999,0.7959999999999999,86160.0,0.237,0.583,0.0,0.123,-22.504,1.0,0.0854,109.913,4.0,0.491,5tqEc3nr2rJ7rTRb51W1zE,0.0002001786169902875
"('A Movie Script Ending', 'Death Cab For Cutie')",user_000691,A Movie Script Ending,Death Cab For Cutie,7,129327,5.412636185792603e-05,0.0155,0.509,259480.0,0.748,0.00692,9.0,0.0742,-7.778,1.0,0.028,92.028,4.0,0.541,0ZixUPF4gB7DRJLhTRL7DP,0.00033220005885148396
"('A New Name For Everything', 'The Weakerthans')",user_000691,A New Name For Everything,The Weakerthans,7,129327,5.412636185792603e-05,0.0151,0.462,244187.0,0.797,2.71e-05,7.0,0.119,-7.212999999999999,1.0,0.0366,133.784,4.0,0.7609999999999999,2mwBjJwoEXyCTct0Y6SCbL,0.00035042015152031425
"('A Saucerful Of Secrets', 'Pink Floyd')",user_000691,A Saucerful Of Secrets,Pink Floyd,6,129327,4.639402444965089e-05,0.227,0.13699999999999998,716693.0,0.778,0.9,11.0,0.106,-12.711,1.0,0.211,87.705,4.0,0.0352,0OtkNB4TnTzrlid4zipYDV,0.0004078875005866234
"('A Touching Display', 'Wire')",user_000691,A Touching Display,Wire,6,129327,4.639402444965089e-05,0.912,0.16899999999999998,415880.0,0.564,0.7240000000000001,7.0,0.17,-7.521,1.0,0.0349,98.108,4.0,0.114,69ToRBlsvl4tMXkOVcr4qi,0.00017055005358557196
"('A Trophy Mule In Particular', 'Guided By Voices')",user_000691,A Trophy Mule In Particular,Guided By Voices,6,129327,4.639402444965089e-05,0.0709,0.35100000000000003,139307.0,0.525,0.0219,7.0,0.108,-7.85,1.0,0.0267,75.598,4.0,0.14,5qVz1dA9TpemNJbzYsyuyA,0.0002238023365725983
"('A Very Good Thing', 'Material Issue')",user_000691,A Very Good Thing,Material Issue,6,129327,4.639402444965089e-05,0.000119,0.221,162827.0,0.8909999999999999,7.3e-05,2.0,0.205,-5.8870000000000005,1.0,0.131,169.549,4.0,0.552,5tK3d8fSsTehZIUDOqf2vG,0.00021171939037167853
"('A View To A Kill', 'Duran Duran')",user_000691,A View To A Kill,Duran Duran,6,129327,4.639402444965089e-05,0.0159,0.706,217693.0,0.8140000000000001,0.0,1.0,0.262,-5.405,1.0,0.0569,125.472,4.0,0.778,3O9zeBmAi5JRBMSpIQGx2v,0.00019856721023825408
"('About To Change', 'The Autumn Defense')",user_000691,About To Change,The Autumn Defense,7,129327,5.412636185792603e-05,0.87,0.43,321573.0,0.338,0.0007559999999999999,5.0,0.0974,-8.689,1.0,0.0289,115.095,4.0,0.172,3fYDIm9kVogpUDbA2XtKbE,0.0002134618866254101
"('Act Too... Love Of My Life', 'The Roots')",user_000691,Act Too... Love Of My Life,The Roots,6,129327,4.639402444965089e-05,0.063,0.551,294867.0,0.638,0.0,1.0,0.0696,-8.722999999999999,1.0,0.448,93.047,4.0,0.384,0WFS2dD69nOF7UQOlC0uyE,0.0002543842592945822
"('Africa', 'John Coltrane Quartet')",user_000691,Africa,John Coltrane Quartet,6,129327,4.639402444965089e-05,0.461,0.4270000000000001,986533.0,0.45,0.171,9.0,0.0774,-13.159,0.0,0.0429,91.49,4.0,0.387,5xCTOrlRcu7ud7oYcWhoHq,0.00021354939142081975
"('Ah Ah', 'Moby')",user_000691,Ah Ah,Moby,6,129327,4.639402444965089e-05,2.66e-06,0.612,226000.0,0.6579999999999999,0.8690000000000001,5.0,0.0997,-11.51,0.0,0.0378,132.93200000000002,4.0,0.515,2pFaCGHDyHoMtVcrBNSKY8,0.0008428403970668352
"('Alex Chilton', 'The Replacements')",user_000691,Alex Chilton,The Replacements,6,129327,4.639402444965089e-05,0.00242,0.443,193980.0,0.924,3.73e-05,4.0,0.32299999999999995,-7.383999999999999,1.0,0.0476,165.64,4.0,0.7929999999999999,2g9EvzLR2sYscJQubwKGqu,0.00020796850661275457
"('Alive', 'Pearl Jam')",user_000691,Alive,Pearl Jam,7,129327,5.412636185792603e-05,0.0075200000000000015,0.284,340907.0,0.875,0.000461,11.0,0.402,-6.069,0.0,0.0422,75.009,4.0,0.595,1L94M3KIu7QluZe63g64rv,0.0003044760486856646
"('All Along The Watchtower', 'Neil Young')",user_000691,All Along The Watchtower,Neil Young,7,129327,5.412636185792603e-05,0.0363,0.35200000000000004,374760.0,0.967,0.443,9.0,0.986,-7.023,0.0,0.128,114.436,4.0,0.225,1HipTbE3pVedq6OGGjxhWj,0.00020775727683797207
"('All For You', 'Our Lady Peace')",user_000691,All For You,Our Lady Peace,6,129327,4.639402444965089e-05,0.000231,0.56,254560.0,0.916,2.97e-06,8.0,0.0379,-4.6530000000000005,0.0,0.0571,132.064,4.0,0.34,1XxkfYyAXOLmRkRCts4oQI,4.792134333997389e-05
"('All Of You', 'Miles Davis')",user_000691,All Of You,Miles Davis,8,129327,6.185869926620118e-05,0.715,0.546,1025453.0,0.33,0.17600000000000002,0.0,0.8690000000000001,-13.743,0.0,0.0425,143.40200000000004,4.0,0.563,6Qpke1nLtW5lciSvWy87KS,8.872452796837571e-05
"('All Summer Long', 'The Beach Boys')",user_000691,All Summer Long,The Beach Boys,8,129327,6.185869926620118e-05,0.115,0.568,128987.0,0.688,0.000261,11.0,0.203,-9.357,1.0,0.0542,136.85299999999998,4.0,0.836,6NIhm22UWaECPEdGm7VqEC,0.00021712367000503718
"('All The Little Pieces', 'Louis Xiv')",user_000691,All The Little Pieces,Louis Xiv,6,129327,4.639402444965089e-05,0.279,0.34700000000000003,234400.0,0.494,0.00282,8.0,0.108,-9.295,0.0,0.0339,139.485,4.0,0.0759,0DzFXfJCGq8OA1Xz41RPMK,1.1145318027816487e-05
"('All The Night Without Love', 'Elvis Perkins')",user_000691,All The Night Without Love,Elvis Perkins,7,129327,5.412636185792603e-05,0.0919,0.395,190813.0,0.515,1.22e-05,4.0,0.223,-9.302,0.0,0.0285,97.633,4.0,0.345,2XL4bdUU0n8ebukNJpndEX,0.00025734956223377736
"('Alms', 'The Futureheads')",user_000691,Alms,The Futureheads,6,129327,4.639402444965089e-05,0.102,0.525,125507.0,0.94,0.00182,9.0,0.172,-3.374,1.0,0.0672,145.939,4.0,0.197,1AZf53cOFilpvG8MlLBIQ1,0.00018331006936000982
"('Always In Trouble', 'The A-Sides')",user_000691,Always In Trouble,The A-Sides,6,129327,4.639402444965089e-05,0.00015900000000000002,0.257,393413.0,0.7190000000000001,0.00201,7.0,0.342,-6.437,1.0,0.0313,85.55,4.0,0.451,4tJD0zj0XU5emPpJEV40zY,0.0002123181264328533
"('Always On The Telephone', 'The Ladybug Transistor')",user_000691,Always On The Telephone,The Ladybug Transistor,8,129327,6.185869926620118e-05,0.354,0.574,233960.0,0.8440000000000001,0.0338,9.0,0.778,-5.5139999999999985,0.0,0.0306,135.072,4.0,0.7040000000000001,1xOnv8KvRFPFmIatv3xjqC,0.0002067561236431814
"('American Dirt', 'Matthew Ryan')",user_000691,American Dirt,Matthew Ryan,6,129327,4.639402444965089e-05,0.403,0.677,273680.0,0.695,0.00129,2.0,0.0948,-6.994,1.0,0.0353,122.037,4.0,0.248,0QZanyX4jPPZBaVKdxtKe1,0.00021325641305169896
"('American Dream', 'Lucinda Williams')",user_000691,American Dream,Lucinda Williams,7,129327,5.412636185792603e-05,0.208,0.665,278200.0,0.32,7.42e-05,2.0,0.154,-14.515,1.0,0.029,83.77,4.0,0.329,5gxbEHYY6fGr0uB0Rn2XlE,0.00020426064774592412
"('Amnesia', 'The Vines')",user_000691,Amnesia,The Vines,6,129327,4.639402444965089e-05,0.00379,0.313,281160.0,0.551,0.713,7.0,0.133,-7.704,1.0,0.0327,120.044,4.0,0.205,4FhXmZxw4xoBvYhQvdSivQ,0.00026573061001911036
"('Andalucia', 'Yo La Tengo')",user_000691,Andalucia,Yo La Tengo,6,129327,4.639402444965089e-05,0.5479999999999999,0.35700000000000004,219933.0,0.15,0.68,2.0,0.162,-19.349,1.0,0.0327,97.192,4.0,0.379,6dopxqfH1cJwxU46K91bzc,0.00011390145214718039
"('Andover', 'Bound Stems')",user_000691,Andover,Bound Stems,6,129327,4.639402444965089e-05,0.16899999999999998,0.336,260560.0,0.925,0.0,0.0,0.419,-7.234,1.0,0.199,141.43200000000004,4.0,0.477,3XOHD3zGB2v9jTxUkY6dK9,0.00011147615966677904
"('Andrea', 'Mxpx')",user_000691,Andrea,Mxpx,6,129327,4.639402444965089e-05,7.38e-05,0.439,106933.0,0.977,0.0177,0.0,0.113,-3.428,1.0,0.0822,101.216,4.0,0.8390000000000001,41EG98cma5gbuGv7sypRXg,0.0002100276347030139
"('Aneurysm', 'Nirvana')",user_000691,Aneurysm,Nirvana,10,129327,7.732337408275146e-05,0.000453,0.218,275027.0,0.981,0.809,1.0,0.644,-7.207999999999998,1.0,0.0963,133.33100000000002,4.0,0.198,0lZ0EPwP2owTo5FVtisY5D,0.00021735337227157814
"('Angel In The Snow', 'Elliott Smith')",user_000691,Angel In The Snow,Elliott Smith,6,129327,4.639402444965089e-05,0.736,0.313,157360.0,0.226,0.000416,7.0,0.0918,-14.300999999999998,0.0,0.0551,72.018,4.0,0.183,0TJiGLT3w6HRsd5SSdEUWZ,0.0003180826852797747
"('Angel Of Harlem', 'U2')",user_000691,Angel Of Harlem,U2,6,129327,4.639402444965089e-05,0.104,0.519,229267.0,0.6940000000000001,2.3e-06,0.0,0.111,-10.792,1.0,0.0264,102.718,4.0,0.928,7iBav4v8maicL8cWKGxFhQ,0.00014585292695112884
"('Angie', 'Bert Jansch')",user_000691,Angie,Bert Jansch,7,129327,5.412636185792603e-05,0.462,0.48,189406.0,0.224,0.88,0.0,0.105,-18.077,0.0,0.0401,80.035,4.0,0.395,4QTV3dLUyYu5vFPEFvA1jg,0.00018271230090372015
"('Ant Farm', 'Eels')",user_000691,Ant Farm,Eels,7,129327,5.412636185792603e-05,0.695,0.394,131867.0,0.287,0.00195,0.0,0.0802,-16.363,1.0,0.0408,130.174,4.0,0.177,6t1nYyMGMV117XaCkeldAh,0.00013061384542112364
"('Apology', 'The Posies')",user_000691,Apology,The Posies,6,129327,4.639402444965089e-05,0.00632,0.564,316973.0,0.473,0.00302,6.0,0.184,-12.526,1.0,0.0262,110.664,4.0,0.421,1bmoQPwPV4URKiqkZb8yY5,0.0002054928164683112
"('Apple Blossom', 'The White Stripes')",user_000691,Apple Blossom,The White Stripes,6,129327,4.639402444965089e-05,0.65,0.537,133293.0,0.454,0.000138,9.0,0.0879,-7.896,1.0,0.0535,128.201,4.0,0.628,2EWMlxsVQdNpgZ3TryxdR9,0.00014081499174589673
"('April Fools', 'Rufus Wainwright')",user_000691,April Fools,Rufus Wainwright,7,129327,5.412636185792603e-05,0.213,0.449,300560.0,0.718,0.0,7.0,0.189,-6.9110000000000005,1.0,0.043,111.152,4.0,0.454,7CVhvuNqWHjYcOl5cCcv1n,0.00012004237241480809
"('Are You Sitting Comfortably', 'The Moody Blues')",user_000691,Are You Sitting Comfortably,The Moody Blues,6,129327,4.639402444965089e-05,0.898,0.368,209693.0,0.227,0.0447,7.0,0.32,-13.889,1.0,0.0298,98.812,4.0,0.182,3mzgrkiRztz7p0PWGo2JN0,0.00023780445512544546
"('As Black Pants Make Cat Hairs Appear', 'Joan Of Arc')",user_000691,As Black Pants Make Cat Hairs Appear,Joan Of Arc,7,129327,5.412636185792603e-05,0.727,0.67,468893.0,0.295,0.0274,3.0,0.112,-14.496,1.0,0.0375,111.034,4.0,0.542,2cYu3LbqICyjm8103B0xaj,0.00021413203348341625
"('Astro Zombies', 'Misfits')",user_000691,Astro Zombies,Misfits,7,129327,5.412636185792603e-05,0.608,0.468,131333.0,0.846,0.468,0.0,0.214,-11.889,1.0,0.0484,110.761,4.0,0.476,7dWyBjRr6F6Ap2N6xNNXf2,0.0002852801380917036
"('Away From The Numbers', 'The Jam')",user_000691,Away From The Numbers,The Jam,9,129327,6.959103667447633e-05,0.00031800000000000003,0.304,241827.0,0.785,1.91e-05,7.0,0.0486,-8.901,1.0,0.0308,134.77100000000002,4.0,0.659,0TQRAjW5ZJ6Pv0jTVSzcKH,0.0001407387420373496
"('B Boy Blunt', 'Bows')",user_000691,B Boy Blunt,Bows,6,129327,4.639402444965089e-05,0.00274,0.61,161640.0,0.5870000000000001,0.6459999999999999,5.0,0.0952,-9.491,1.0,0.0502,94.444,4.0,0.246,2nJBNWjJjyo1rZqqUJnpgR,0.00021315856604164907
"('Babelogue', 'Patti Smith')",user_000691,Babelogue,Patti Smith,6,129327,4.639402444965089e-05,0.466,0.328,92240.0,0.902,0.0,9.0,0.904,-11.714,1.0,0.809,72.321,4.0,0.254,7g7O1LdjH4Zx57m7uPmbCq,0.00025301629037355333
"('Back In The Saddle', 'Aerosmith')",user_000691,Back In The Saddle,Aerosmith,6,129327,4.639402444965089e-05,0.00578,0.426,280360.0,0.903,0.00945,1.0,0.0945,-9.661,1.0,0.0389,122.201,4.0,0.762,0ZGLuduCPjgWY1n85ykgMe,5.9959327726621936e-05
"('Back To Rome', 'Frank Black And The Catholics')",user_000691,Back To Rome,Frank Black And The Catholics,6,129327,4.639402444965089e-05,0.000179,0.512,206067.0,0.903,0.00238,8.0,0.14400000000000002,-4.57,0.0,0.0318,113.91,4.0,0.45,0qTY61tLGMG8Dirmt3Ae4X,0.00022209310179355235
"('Bad Mouth Kid (Skit)', 'Ghostface Killah')",user_000691,Bad Mouth Kid (Skit),Ghostface Killah,6,129327,4.639402444965089e-05,0.889,0.53,70093.0,0.452,3.17e-05,6.0,0.769,-19.14,1.0,0.604,96.681,3.0,0.6609999999999999,6PIi5Ut7nJUBTrzHoNrHhA,0.000561501831259914
"('Bad News', 'Owen')",user_000691,Bad News,Owen,7,129327,5.412636185792603e-05,0.736,0.591,390907.0,0.391,0.102,1.0,0.0788,-10.879,1.0,0.0299,138.02,4.0,0.161,70UHI16B6HW4vL4NmaIdAw,0.00048614997121121384
"('Ball And Biscuit', 'The White Stripes')",user_000691,Ball And Biscuit,The White Stripes,6,129327,4.639402444965089e-05,0.0513,0.518,439067.0,0.67,0.145,9.0,0.102,-7.135,1.0,0.192,78.223,4.0,0.608,7kYSpDviYdP8QKrnWLQYVN,0.0001859352696158556
"('Bandwagoneers', 'The Dears')",user_000691,Bandwagoneers,The Dears,7,129327,5.412636185792603e-05,0.105,0.441,280160.0,0.922,0.00159,2.0,0.0535,-4.23,0.0,0.0424,123.943,4.0,0.589,7GkvqKkd5YWmxsC1LbF2ea,0.0
"('Barroom Girls', 'Gillian Welch')",user_000691,Barroom Girls,Gillian Welch,7,129327,5.412636185792603e-05,0.885,0.594,254027.0,0.0933,0.00673,0.0,0.127,-15.023,1.0,0.0447,81.667,3.0,0.192,0ib0vfvEz2Di2nPLTVhWdJ,0.00021553586880007636
"('Basin Street Blues', 'Louis Armstrong')",user_000691,Basin Street Blues,Louis Armstrong,6,129327,4.639402444965089e-05,0.473,0.417,355320.0,0.505,0.00198,10.0,0.722,-10.563,1.0,0.175,170.69,4.0,0.742,3QB7m6fnXEGR6yYDfsdLPl,0.00018358983619837232
"('Beanbag Chair', 'Yo La Tengo')",user_000691,Beanbag Chair,Yo La Tengo,6,129327,4.639402444965089e-05,0.6940000000000001,0.5820000000000001,182573.0,0.57,0.828,7.0,0.0677,-8.228,1.0,0.0299,96.321,4.0,0.8220000000000001,1fYEuwJev8mly6Uxt0y3pO,0.0001725250820705515
"('Beautiful', 'Belle And Sebastian')",user_000691,Beautiful,Belle And Sebastian,7,129327,5.412636185792603e-05,0.0885,0.58,264855.0,0.7020000000000001,0.0,0.0,0.321,-4.808,1.0,0.0465,143.996,4.0,0.503,0Cqrx85Er7cLFcEc7Bx4sM,7.962883831913459e-05
"('Been A Son', 'Nirvana')",user_000691,Been A Son,Nirvana,8,129327,6.185869926620118e-05,2.7000000000000004e-06,0.387,115600.0,0.914,0.0,9.0,0.258,-10.101,1.0,0.0862,154.455,4.0,0.556,4dXBG3zz9SzaPBtm4Fv91x,0.00022099448213230843
"('Beneath The Valley Of The Underdog', 'Mudhoney')",user_000691,Beneath The Valley Of The Underdog,Mudhoney,8,129327,6.185869926620118e-05,0.0777,0.245,519133.0,0.0497,0.000664,5.0,0.0835,-6.474,1.0,0.0542,132.796,4.0,0.0783,6wpyVKdfTfr4KgYWITddpD,9.23910561339003e-05
"('Berlin', 'Black Rebel Motorcycle Club')",user_000691,Berlin,Black Rebel Motorcycle Club,6,129327,4.639402444965089e-05,0.0877,0.557,190507.0,0.985,8.53e-05,0.0,0.16399999999999998,-2.317,1.0,0.0795,132.49200000000002,4.0,0.459,1BFYyKHwVNnBRrAvlp5MGj,0.0005823060588394657
"('Better Not Be So', 'Surrounded')",user_000691,Better Not Be So,Surrounded,8,129327,6.185869926620118e-05,0.196,0.421,267040.0,0.535,0.931,11.0,0.387,-8.177999999999999,1.0,0.0325,118.947,4.0,0.282,2QJ7RJ2H8MLpaX8TLwBFPz,0.0002147370718963426
"('Better Than The Night', 'Adam Dove')",user_000691,Better Than The Night,Adam Dove,6,129327,4.639402444965089e-05,0.18600000000000005,0.609,206800.0,0.7,0.000612,7.0,0.309,-9.937,1.0,0.0288,92.006,4.0,0.51,3T74xeYsXPI64wBslGt6gj,0.0002136435920310209
"('Better Version Of Me', 'Fiona Apple')",user_000691,Better Version Of Me,Fiona Apple,7,129327,5.412636185792603e-05,0.0014,0.621,179600.0,0.748,0.0172,7.0,0.0982,-7.586,0.0,0.0344,120.088,4.0,0.639,44tKNi9TEVbu31QlBkXSvG,0.0002638405037727054
"('Big Brother', 'David Bowie')",user_000691,Big Brother,David Bowie,6,129327,4.639402444965089e-05,0.5429999999999999,0.218,203080.0,0.463,4.78e-05,11.0,0.61,-13.108,0.0,0.0392,180.138,4.0,0.349,7pyD032027SPw5Sc0xhfrI,7.695084496917026e-05
"('Big Day Coming', 'Yo La Tengo')",user_000691,Big Day Coming,Yo La Tengo,6,129327,4.639402444965089e-05,0.966,0.161,425467.0,0.161,0.967,8.0,0.0951,-19.951,1.0,0.0341,77.62899999999998,4.0,0.116,3LslBdXSdbpjlQsXAG4Gbg,0.00019828486873829654
"('Bigmouth Strikes Again', 'The Smiths')",user_000691,Bigmouth Strikes Again,The Smiths,6,129327,4.639402444965089e-05,0.0704,0.401,193320.0,0.901,0.0,1.0,0.5379999999999999,-5.011,0.0,0.041,134.799,4.0,0.8390000000000001,2OErSh4oVVAUll0vHxdr6p,0.00036912244384734727
"('Bird Of Paradise', 'Charlie Parker')",user_000691,Bird Of Paradise,Charlie Parker,7,129327,5.412636185792603e-05,0.948,0.584,187627.0,0.212,0.328,8.0,0.159,-13.438,1.0,0.0471,115.941,4.0,0.464,0SLdC5HTFXsMnyA54bk6Qu,0.00018255261739774653
"('Bitches Brew', 'Miles Davis')",user_000691,Bitches Brew,Miles Davis,7,129327,5.412636185792603e-05,0.534,0.4,1618693.0,0.512,0.276,10.0,0.104,-9.094,0.0,0.0348,99.18,4.0,0.17,4IqzVeWfWLPQ2deCYYWeXL,0.0
"('Bitter End', 'Paul Kimble & Andy Mackay')",user_000691,Bitter End,Paul Kimble & Andy Mackay,6,129327,4.639402444965089e-05,0.472,0.521,133227.0,0.334,1.44e-06,5.0,0.177,-12.725,1.0,0.0333,122.298,4.0,0.466,1IwpDeVSlae9EonNVpM4DV,0.00017966041228212326
"('Black Out', 'The Good Life')",user_000691,Black Out,The Good Life,6,129327,4.639402444965089e-05,0.5489999999999999,0.344,95733.0,0.519,0.0446,0.0,0.444,-16.444000000000006,1.0,0.251,88.738,3.0,0.601,5GqF4v13N5EIPbF5Ll61IY,0.0
"('Bleary Eyed', 'Annuals')",user_000691,Bleary Eyed,Annuals,7,129327,5.412636185792603e-05,0.19,0.503,184427.0,0.941,0.0031100000000000004,11.0,0.258,-5.49,1.0,0.0789,145.154,4.0,0.514,5oOCdVb8cxZZ7jRJ7h7D4y,0.00020371331907020895
"('Blindfold', 'Morcheeba')",user_000691,Blindfold,Morcheeba,6,129327,4.639402444965089e-05,0.00123,0.439,276560.0,0.72,0.117,7.0,0.116,-8.42,1.0,0.044,161.953,4.0,0.255,41icxwatoTAnedEnplc06k,0.0002602177628221458
"('Bliss In Concrete', 'Pelican')",user_000691,Bliss In Concrete,Pelican,7,129327,5.412636185792603e-05,1.41e-05,0.162,330440.0,0.975,0.8079999999999999,7.0,0.189,-4.634,1.0,0.0713,84.23299999999998,4.0,0.37,3woPaBqVSxszoviowsnhNo,0.0006741923798725402
"('Blitzkrieg Bop', 'Ramones')",user_000691,Blitzkrieg Bop,Ramones,6,129327,4.639402444965089e-05,0.000269,0.385,134467.0,0.7829999999999999,0.47,9.0,0.108,-2.533,1.0,0.233,176.701,4.0,0.902,4KcH1ZRV2W1q7Flq0QqC76,0.00025915664549169826
"('Blood And Thunder', 'Mastodon')",user_000691,Blood And Thunder,Mastodon,7,129327,5.412636185792603e-05,8.58e-06,0.364,228587.0,0.935,0.7290000000000001,2.0,0.0317,-6.547999999999999,1.0,0.0724,92.717,4.0,0.478,3jagGO7eHHuaD53ibehkux,0.0002215085561438901
"('Blue Bayou', 'Roy Orbison')",user_000691,Blue Bayou,Roy Orbison,10,129327,7.732337408275146e-05,0.6729999999999999,0.53,149427.0,0.26,1.2e-05,5.0,0.116,-12.218,1.0,0.0357,117.861,4.0,0.805,26p6GNIQfv9koDVD4rTouu,0.00023447307366342152
"('Blue Condition', 'Cream')",user_000691,Blue Condition,Cream,6,129327,4.639402444965089e-05,0.649,0.526,209400.0,0.17600000000000002,0.000181,0.0,0.0923,-17.473,1.0,0.0314,79.921,4.0,0.605,5LffAyGdb4cR9X1NbpTtsS,0.00011840907542981505
"('Blue Green God', 'Meat Puppets')",user_000691,Blue Green God,Meat Puppets,6,129327,4.639402444965089e-05,0.0537,0.371,82907.0,0.953,0.0,2.0,0.76,-5.251,1.0,0.128,116.659,4.0,0.205,4ySRBOfKRz5m3Zox1doWyD,0.00021813030533612832
"('Blues From Down Here', 'Tv On The Radio')",user_000691,Blues From Down Here,Tv On The Radio,6,129327,4.639402444965089e-05,0.0414,0.311,317467.0,0.879,0.00097,4.0,0.247,-8.022,0.0,0.0492,119.945,4.0,0.419,3VJKCMs1AtuwBKEfab4hdV,0.00018415761958423538
"('Bone Broke', 'The White Stripes')",user_000691,Bone Broke,The White Stripes,6,129327,4.639402444965089e-05,0.085,0.329,194360.0,0.8109999999999999,0.8220000000000001,2.0,0.0783,-6.109,1.0,0.118,84.205,4.0,0.401,3eMwOh7qeMJfBZohwQeSJQ,0.00020952216296499238
"('Bonita', 'Horace Silver')",user_000691,Bonita,Horace Silver,7,129327,5.412636185792603e-05,0.6829999999999999,0.552,517907.0,0.379,0.736,8.0,0.12,-11.448,1.0,0.0313,137.84799999999998,4.0,0.635,3yhvIfOr8Dj0hgAKOuxNxG,0.00021663321059328666
"('Book Of Saturday', 'King Crimson')",user_000691,Book Of Saturday,King Crimson,6,129327,4.639402444965089e-05,0.424,0.382,178903.0,0.29600000000000004,0.0,9.0,0.887,-16.554000000000002,0.0,0.0504,112.544,5.0,0.299,6pgEeY4m9DMA43GHmdrYdI,0.00017415431378808854
